,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10
0.0005,-2.65,-2.65,17.35,57.35,-2.65,-2.65,-2.65,-2.65,-2.65,17.35,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61
0.0015,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,19.44,-0.56,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61
0.0025,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,17.35,-2.65,-2.65,17.35,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,19.39,-0.61,-0.61,-0.61,-0.61,-0.61
0.0035,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,17.35,-2.65,-2.65,-0.56,-0.56,-0.56,-0.56,-0.56,19.44,19.44,-0.56,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61
0.0045,-2.65,-2.65,17.35,-2.65,-2.65,-2.65,-2.65,-2.65,17.35,-2.65,-0.56,-0.56,-0.56,-0.56,19.44,-0.56,-0.56,-0.56,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,19.39,-0.61,-0.61,-0.61
0.0055,-2.65,-2.65,-2.65,-2.65,17.35,-2.65,-2.65,-2.65,17.35,37.35,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,19.39,-0.61,-0.61
0.0065,-2.65,-2.65,-2.65,-2.65,17.35,-2.65,-2.65,-2.65,-2.65,17.35,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61
0.0075,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,17.35,-2.65,-2.65,-2.65,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61
0.0085,-2.65,17.35,-2.65,17.35,17.35,-2.65,-2.65,-2.65,17.35,-2.65,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61
0.0095,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,17.35,-2.65,37.35,17.35,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61
0.0105,-2.65,-2.65,-2.65,-2.65,-2.65,17.35,-2.65,-2.65,37.35,37.35,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,19.44,-0.56,-0.56,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,19.39,-0.61,-0.61
0.0115,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,37.35,37.35,17.35,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,19.44,19.44,-0.56,19.44,-0.61,-0.61,-0.61,19.39,-0.61,-0.61,-0.61,-0.61,-0.61,19.39
0.0125,-2.65,-2.65,17.35,-2.65,-2.65,-2.65,17.35,17.35,-2.65,57.35,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,19.44,-0.56,19.44,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,39.39
0.0135,-2.65,-2.65,-2.65,-2.65,17.35,57.35,17.35,17.35,17.35,17.35,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,19.44,19.44,-0.61,-0.61,-0.61,19.39,-0.61,-0.61,-0.61,19.39,19.39,59.39
0.0145,17.35,-2.65,-2.65,17.35,-2.65,17.35,-2.65,17.35,77.35,57.35,-0.56,19.44,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,39.44,-0.61,-0.61,-0.61,-0.61,-0.61,19.39,-0.61,19.39,79.39,-0.61
0.0155,-2.65,-2.65,17.35,-2.65,-2.65,37.35,77.35,37.35,77.35,117.35,-0.56,-0.56,-0.56,19.44,-0.56,19.44,19.44,39.44,19.44,19.44,-0.61,-0.61,-0.61,19.39,-0.61,19.39,59.39,39.39,79.39,59.39
0.0165,17.35,17.35,-2.65,-2.65,17.35,17.35,117.35,37.35,57.35,17.35,-0.56,-0.56,-0.56,19.44,-0.56,-0.56,39.44,19.44,99.44,79.44,-0.61,-0.61,-0.61,-0.61,-0.61,19.39,19.39,-0.61,79.39,99.39
0.0175,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,57.35,-2.65,37.35,77.35,-0.56,-0.56,-0.56,39.44,-0.56,19.44,39.44,59.44,119.44,99.44,-0.61,-0.61,-0.61,-0.61,-0.61,19.39,39.39,39.39,39.39,99.39
0.0185,-2.65,-2.65,-2.65,37.35,17.35,17.35,17.35,17.35,117.35,57.35,-0.56,-0.56,-0.56,19.44,-0.56,-0.56,59.44,39.44,159.44,139.44,-0.61,-0.61,-0.61,-0.61,-0.61,19.39,39.39,39.39,19.39,79.39
0.0195,-2.65,-2.65,-2.65,-2.65,17.35,57.35,37.35,37.35,97.35,57.35,-0.56,-0.56,-0.56,-0.56,-0.56,59.44,39.44,-0.56,99.44,119.44,-0.61,-0.61,-0.61,-0.61,19.39,-0.61,79.39,99.39,79.39,79.39
0.0205,-2.65,-2.65,-2.65,-2.65,17.35,97.35,97.35,77.35,77.35,97.35,-0.56,-0.56,-0.56,39.44,19.44,-0.56,-0.56,79.44,59.44,79.44,-0.61,-0.61,-0.61,19.39,-0.61,59.39,119.39,99.39,19.39,59.39
0.0215,-2.65,-2.65,-2.65,-2.65,17.35,57.35,117.35,57.35,37.35,37.35,-0.56,-0.56,-0.56,-0.56,-0.56,19.44,39.44,39.44,99.44,119.44,-0.61,19.39,-0.61,-0.61,19.39,39.39,39.39,99.39,119.39,39.39
