,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5,f08_stimulus_6,f08_stimulus_7,f08_stimulus_8,f08_stimulus_9,f08_stimulus_10,f09_stimulus_1,f09_stimulus_2,f09_stimulus_3,f09_stimulus_4,f09_stimulus_5,f09_stimulus_6,f09_stimulus_7,f09_stimulus_8,f09_stimulus_9,f09_stimulus_10
0.0005,16.98,16.98,-3.02,-3.02,-3.02,-3.02,-3.02,16.98,-3.02,-3.02,-2.23,17.77,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-3.87,16.13,-3.87,-3.87,-3.87,16.13,-3.87,-3.87,-3.87,-3.87,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,17.57,-2.43,-2.43,-2.43,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74
0.0015,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,16.98,37.77,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,17.77,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-3.87,-3.87,-3.87,-3.87,-3.87,-3.87,-3.87,36.13,-3.87,-3.87,-1.08,18.92,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74
0.0025,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,16.98,-3.02,-3.02,-2.23,17.77,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-3.87,-3.87,-3.87,-3.87,-3.87,-3.87,-3.87,16.13,-3.87,-3.87,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-2.43,-2.43,-2.43,17.57,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-0.57,19.43,-0.57,-0.57,-0.57,19.43,-0.57,-0.57,-0.57,-0.57,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,19.26,-0.74,-0.74,19.26,-0.74,-0.74,-0.74,-0.74,19.26,19.26
0.0035,16.98,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,16.98,-3.02,-3.02,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,17.77,-2.23,18.35,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-3.87,16.13,-3.87,-3.87,-3.87,-3.87,-3.87,-3.87,-3.87,-3.87,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,17.57,-2.43,-2.43,-2.43,-0.57,-0.57,-0.57,-0.57,-0.57,19.43,-0.57,-0.57,-0.57,-0.57,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74
0.0045,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-1.65,-1.65,18.35,-1.65,-1.65,18.35,-1.65,-1.65,-1.65,18.35,-3.87,-3.87,-3.87,-3.87,16.13,-3.87,-3.87,-3.87,-3.87,-3.87,-1.08,-1.08,18.92,18.92,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74
0.0055,16.98,36.98,-3.02,-3.02,-3.02,-3.02,-3.02,16.98,-3.02,-3.02,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,17.77,-2.23,-1.65,-1.65,-1.65,18.35,-1.65,-1.65,-1.65,18.35,-1.65,-1.65,-3.87,-3.87,-3.87,-3.87,16.13,-3.87,-3.87,16.13,16.13,-3.87,18.92,-1.08,-1.08,-1.08,18.92,-1.08,-1.08,-1.08,-1.08,-1.08,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74
0.0065,16.98,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-3.87,-3.87,-3.87,-3.87,-3.87,-3.87,16.13,-3.87,-3.87,-3.87,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-2.43,-2.43,-2.43,17.57,-2.43,-2.43,-2.43,17.57,-2.43,-2.43,-0.57,-0.57,-0.57,-0.57,-0.57,19.43,19.43,-0.57,-0.57,-0.57,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74
0.0075,16.98,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-2.23,-2.23,-2.23,17.77,-2.23,-2.23,-2.23,-2.23,-2.23,17.77,-1.65,-1.65,-1.65,18.35,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,16.13,16.13,-3.87,16.13,-3.87,16.13,-3.87,-3.87,16.13,-3.87,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-2.43,-2.43,-2.43,17.57,-2.43,-2.43,-2.43,-2.43,-2.43,17.57,-0.57,-0.57,-0.57,19.43,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74
0.0085,-3.02,-3.02,16.98,-3.02,-3.02,-3.02,-3.02,36.98,-3.02,16.98,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,-1.65,-1.65,18.35,-1.65,-1.65,-1.65,-1.65,-1.65,18.35,18.35,16.13,16.13,-3.87,36.13,-3.87,56.13,136.13,56.13,16.13,116.13,-1.08,18.92,-1.08,-1.08,-1.08,18.92,-1.08,38.92,-1.08,-1.08,-2.43,-2.43,-2.43,-2.43,-2.43,37.57,37.57,77.57,57.57,77.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,19.8,19.8,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74
0.0095,16.98,-3.02,36.98,-3.02,-3.02,16.98,-3.02,16.98,-3.02,-3.02,-2.23,-2.23,-2.23,-2.23,-2.23,-2.23,17.77,-2.23,-2.23,37.77,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,18.35,-1.65,-1.65,38.35,-3.87,-3.87,16.13,56.13,36.13,36.13,76.13,36.13,56.13,36.13,-1.08,18.92,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,58.92,-2.43,-2.43,-2.43,37.57,37.57,17.57,17.57,57.57,37.57,17.57,-0.57,39.43,-0.57,-0.57,-0.57,-0.57,19.43,-0.57,-0.57,-0.57,-0.2,-0.2,-0.2,-0.2,19.8,-0.2,19.8,-0.2,19.8,-0.2,-0.74,-0.74,-0.74,19.26,19.26,19.26,-0.74,19.26,-0.74,-0.74
0.0105,-3.02,-3.02,-3.02,16.98,36.98,-3.02,-3.02,-3.02,-3.02,36.98,-2.23,-2.23,-2.23,-2.23,17.77,-2.23,-2.23,-2.23,-2.23,17.77,-1.65,-1.65,-1.65,-1.65,-1.65,18.35,-1.65,18.35,38.35,-1.65,-3.87,-3.87,-3.87,16.13,-3.87,36.13,16.13,56.13,36.13,16.13,-1.08,-1.08,-1.08,-1.08,18.92,-1.08,38.92,18.92,-1.08,38.92,17.57,-2.43,-2.43,17.57,37.57,37.57,-2.43,57.57,17.57,37.57,-0.57,-0.57,-0.57,-0.57,-0.57,19.43,-0.57,19.43,39.43,19.43,-0.2,-0.2,-0.2,-0.2,-0.2,19.8,-0.2,-0.2,-0.2,39.8,-0.74,-0.74,-0.74,19.26,19.26,-0.74,-0.74,-0.74,19.26,19.26
